type,file,line,issue,severity,fix
unhandled-promise,src/utils/advancedCachingManager.ts,956,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCachingManager.ts,978,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,328,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,340,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,356,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,374,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,397,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,420,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,425,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,430,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,436,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,455,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,462,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,477,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,490,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,507,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,512,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,518,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,543,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,582,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,599,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,617,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,622,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,628,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,645,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,656,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,673,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,678,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,683,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,689,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,758,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,857,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedCollaborationToolsManager.ts,877,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,298,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,310,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,324,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,335,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,346,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,351,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,356,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,361,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,367,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,378,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,389,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,404,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,421,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,435,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,450,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,465,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,476,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,491,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,496,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,502,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,516,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,527,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,532,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,537,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,543,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,559,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,564,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,570,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,586,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,597,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,603,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,617,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,623,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,692,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedDataManagementManager.ts,714,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,250,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,304,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,342,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,362,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,372,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,377,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,414,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,437,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,453,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,469,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,474,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,497,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,518,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,562,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,575,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,588,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,605,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,611,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,625,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,640,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,657,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,663,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,669,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,697,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,751,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,892,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,924,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,935,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,943,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,951,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,997,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,1046,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedEnterpriseSecurityManager.ts,1070,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,285,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,298,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,446,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,484,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,489,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,494,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,499,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,504,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,525,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,581,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,586,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,598,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,617,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,651,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,657,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,678,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,722,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,739,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,744,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,759,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,826,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,919,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedErrorHandlingManager.ts,941,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,722,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,727,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,732,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,737,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,743,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,749,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedFeatures.ts,755,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,287,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,350,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,382,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,434,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,464,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,490,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,496,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,576,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,596,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,651,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,662,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,748,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,766,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,821,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,963,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,985,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1066,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1072,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1085,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1105,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1116,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedIntegrationsHubManager.ts,1138,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,300,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,313,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,423,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,449,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,489,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,494,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,500,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,524,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,540,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,546,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,575,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,586,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,592,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,606,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,617,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,622,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,628,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,643,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,657,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,662,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,668,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,688,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,727,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,763,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,799,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,861,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedPerformanceOptimizationManager.ts,887,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,175,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,251,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,267,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,278,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,289,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,294,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,299,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,304,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,383,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,438,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,571,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,613,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,639,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,660,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,736,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,741,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,768,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,809,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchHubManager.ts,829,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,251,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,397,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,450,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,475,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,499,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,527,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,565,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,592,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,619,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,645,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,677,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,704,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,721,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,740,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,759,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,878,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,900,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,912,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,917,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,928,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,940,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,981,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1009,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1039,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1045,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1092,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1104,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1115,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1150,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1158,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1164,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSearchManager.ts,1184,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,383,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,463,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,506,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,542,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,567,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,586,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,602,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,661,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,682,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,719,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,818,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,838,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,849,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,875,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,906,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,951,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,979,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1022,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1114,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1121,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1137,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1142,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1192,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedSecurityFeaturesManager.ts,1218,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedTaskBreakdownManager.ts,237,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedTaskBreakdownManager.ts,302,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedTaskBreakdownManager.ts,340,Async function call without await,Medium,Add await or handle promise rejection
